gene_accession,CAC10u_t2_M_AB,CAC09e_t2_M_AB,CAC10e_t2_M_AB,CAC08e_t2_M_MB,CAC08u_t2_M_MB,CAC07e_t2_M_MB,CAC06u_t2_M_AB,CAC09u_t2_M_AB,CAC07u_t2_M_MB,CAC06e_t2_M_AB
MEG_2912/Drugs/Phenicol/Phenicol_resistance_MFS_efflux_pumps/FLOR,2,0,0,6,0,0,0,8,4,0
MEG_6843/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_3255/Biocides/Acid_resistance/Acid_resistance_protein/HDEB,0,2,0,3,0,1,0,0,2,0
MEG_7233/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,3,6,5,9,0,2,0,7,0
MEG_408/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRE,0,4,0,8,0,22,0,0,15,0
MEG_7179/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETQ,0,0,0,0,0,0,0,0,4,0
MEG_4204/Biocides/Paraquat_resistance/Paraquat_resistance_protein/NMPC,0,0,0,15,4,0,0,0,5,0
MEG_6103/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,85,121,0,98,164,131,102,119,130
MEG_2947/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,0,0,0,12,0,0
MEG_1485/Metals/Multi-metal_resistance/Multi-metal_resistance_regulator/CADC,28,28,34,30,22,0,32,48,22,14
MEG_5354/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,14,0
MEG_6612/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,2,2,0,0,0,0,0,0,0
MEG_3988/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,329,403,571,417,591,836,543,504,489,499
MEG_7520/Drugs/Glycopeptides/VanM-type_regulator/VANSM,0,0,24,0,0,22,0,0,0,26
MEG_3947/Metals/Multi-metal_resistance/Multi-metal_resistance_regulator/MGTA,0,46,34,47,28,26,0,0,47,0
MEG_7811/Metals/Iron_resistance/Iron_resistance_protein/YBTP,0,0,0,12,0,8,0,0,47,0
MEG_1619/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,8,0,0,0,0,0,2,0,0
MEG_8290/Drugs/betalactams/Mutant_porin_proteins/OMPK36/RequiresSNPConfirmation,0,10,0,13,0,10,0,0,39,0
MEG_2858/Drugs/MLS/23S_rRNA_methyltransferases/ERMX,0,0,0,0,6,0,0,0,0,0
MEG_6549/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_regulator/SOXRB,0,2,1,8,0,2,1,0,3,8
MEG_5394/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PAREF/RequiresSNPConfirmation,141,90,138,61,0,146,89,95,70,68
MEG_2730/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRD,0,16,0,10,10,12,0,0,31,0
MEG_7314/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,30,55,42,32,45,53,43,40,30,58
MEG_2434/Drugs/betalactams/Class_A_betalactamases/CTX,720,758,873,550,739,660,559,552,555,476
MEG_3838/Metals/Mercury_resistance/Mercury_resistance_protein/MERA,0,0,0,0,12,0,0,0,0,0
MEG_6636/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,7,22,13,11,66,43,21,36,27,10
MEG_3753/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDTG,0,1,0,7,0,6,0,0,7,0
MEG_7320/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,10,31,27,32,36,30,25,30,29,46
MEG_7864/Metals/Multi-metal_resistance/Multi-metal_resistance_regulator/ZRAS,0,7,0,2,0,10,0,0,13,0
MEG_3830/Drugs/MLS/MLS_resistance_MFS_efflux_pumps/MEFE,0,0,0,4,0,0,0,16,4,0
MEG_798/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,2,0,0,2,0
MEG_4289/Drugs/betalactams/Mutant_porin_proteins/OMPFB/RequiresSNPConfirmation,0,2,0,24,0,12,0,0,16,0
MEG_7113/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,11,0,13,20,9,16,3,8,5,12
MEG_4843/Drugs/betalactams/Class_D_betalactamases/OXA,0,18,0,0,0,16,0,0,0,0
MEG_3661/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/MARA,0,0,0,2,0,4,0,0,0,0
MEG_7167/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,0,0,0,0,6,8,0,0,0,2
MEG_2090/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORC,12,12,10,6,0,72,16,12,22,18
MEG_6938/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,4,0,0,0,0,0,0
MEG_3626/Drugs/Lipopeptides/Colistin-resistant_mutant/LPXA/RequiresSNPConfirmation,0,0,0,0,0,10,0,0,0,0
MEG_8709/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,2,0,0,0,0
MEG_6617/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,22,26,24,21,115,59,11,37,43,12
MEG_6551/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_resistance_regulator/SOXS,0,3,0,0,0,0,0,0,6,0
MEG_7905/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,3,0,0,0,0,0,0
MEG_6633/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,6,13,9,6,42,27,7,30,22,11
MEG_5418/Metals/Copper_resistance/Copper_resistance_protein/PCOB,0,0,0,13,2,0,0,0,0,0
MEG_8649/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACH,0,0,0,0,0,10,0,12,16,0
MEG_5381/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,4,0,0,7,0,0,4,37
MEG_3296/Drugs/Mupirocin/Mupirocin-resistant_isoleucyl-tRNA_synthetase/ILES/RequiresSNPConfirmation,117,93,129,85,107,174,158,75,131,111
MEG_2737/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRY,0,0,0,6,0,0,0,0,11,0
MEG_2686/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBA,0,2,0,0,0,0,0,0,4,0
MEG_1997/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,1,0,0,0,0,0,0
MEG_7146/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,32,50,84,61,56,75,30,22,62,20
MEG_1084/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,24,11,7,0,16,4,16,27,8,10
MEG_4339/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,6,0,0,0,0,0,0,0
MEG_2799/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,2,0,3,6,0,5,0,0,4,4
MEG_7471/Drugs/Glycopeptides/VanC-type_regulator/VANRC,0,0,16,0,0,0,22,0,0,0
MEG_3187/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,12,23,13,0,0,35,0,0,24,26
MEG_5347/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,111,96,91,48,116,100,85,87,53,76
MEG_6656/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/TEHB,0,0,0,9,0,0,0,2,17,10
MEG_6707/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,2,0,2,0,0,0,0
MEG_8095/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSY,0,0,0,0,0,8,0,0,0,0
MEG_6156/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/SALA,0,0,0,0,58,34,40,0,0,34
MEG_7835/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/YIEF,0,10,12,13,0,10,0,0,24,10
MEG_193/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,16,0,0,0,0,0
MEG_1620/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,9,30,37,85,9,48,4,51,157,19
MEG_1630/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,11,0,0,0,0,0,15,0,0
MEG_6172/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SDEA,38,0,0,0,0,0,0,0,0,0
MEG_6591/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,10,0,4,0,0,0,7,0,0
MEG_6618/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,3,19,14,10,24,25,21,16,16,6
MEG_1176/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSRM,0,0,0,7,0,14,2,0,13,0
MEG_6893/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,2,0,0,0,0
MEG_6833/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_3205/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,30,10,16,23,0,0,0,0,7,37
MEG_7330/Drugs/Fosfomycin/Fosfomycin_target_mutation/UHPT/RequiresSNPConfirmation,0,36,10,36,2,25,0,0,64,18
MEG_4163/Metals/Sodium_resistance/Sodium_resistance_protein/NHAB,0,12,0,7,0,2,0,0,25,0
MEG_1592/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,4,0,0,0,0,0,0,0,0
MEG_762/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,1,98,6,2,0,0,0,25,0,0
MEG_2457/Metals/Copper_resistance/Copper_resistance_protein/CUTE,0,24,12,22,0,17,0,0,35,0
MEG_6927/Drugs/betalactams/Class_A_betalactamases/TEM,0,4,0,8,0,0,4,0,0,0
MEG_2802/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,2,0,0,0,1,0,1,0
MEG_2796/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,2,7,0,0,2,0,2,4,4
MEG_1086/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,24,11,14,5,27,11,8,41,14,10
MEG_1097/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,9,8,12,0,17,0,6,33,9,8
MEG_6952/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,2,0,0,0,0
MEG_7216/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,49,45,86,56,118,56,26,36,65,14
MEG_3738/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDFA,0,0,0,8,0,0,0,0,2,3
MEG_3516/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/KPNO,0,6,6,14,0,4,5,3,24,18
MEG_1053/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,20,25,14,3,29,15,10,33,7,14
MEG_1046/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,14,13,10,0,20,2,4,14,2,5
MEG_4164/Metals/Sodium_resistance/Sodium_resistance_protein/NHAB,0,6,6,24,0,0,0,0,17,0
MEG_7837/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_protein/YJCG,0,14,25,43,0,25,0,0,48,37
MEG_8080/Drugs/Lipopeptides/Colistin_phosphoethanolamine_transferase/EPTB,0,11,19,15,0,0,6,0,12,33
MEG_7304/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,0,0,0,0,14,0,0,0,0,0
MEG_5333/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,15,0,12,0,0,10,0
MEG_6624/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,9,14,24,14,66,39,16,20,22,10
MEG_6687/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_5802/Multi-compound/Drug_and_metal_resistance/Drug_and_metal_MFS_efflux_pumps/PMRG,0,0,0,0,2,0,0,0,2,0
MEG_7127/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,17,20,44,19,28,47,20,26,41,7
MEG_806/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,2,0,0,0,0,0
MEG_3245/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,206,184,252,146,314,282,251,202,200,208
MEG_7264/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/TOLC,0,0,0,14,0,9,0,0,13,0
MEG_5393/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,9,0,6,4,0,10,10
MEG_7862/Metals/Zinc_resistance/Zinc_resistance_regulator/ZRAR,0,16,0,20,4,9,0,0,17,3
MEG_1142/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSA,0,0,0,0,0,14,0,0,0,0
MEG_3254/Biocides/Acid_resistance/Acid_resistance_protein/HDEB,0,4,0,1,0,4,0,0,0,0
MEG_6604/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,2,2,2,0,0,0,0,0,0
MEG_6175/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SDEY,0,25,50,23,0,0,0,32,67,39
MEG_3610/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUC,3,6,0,0,0,0,0,0,0,0
MEG_8089/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,4,0,0,0,0,0,0,0,0
MEG_2868/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_regulator/EVGS,0,0,0,0,0,6,0,0,15,0
MEG_3186/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,31,0,0,0,0,0
MEG_6615/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,10,58,16,28,8,0,0,4,0,0
MEG_6607/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,2,0,0,0,0,0,4,0,0
MEG_4328/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,0,0,2,0,0,0,0,2,0
MEG_2688/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBA,0,3,3,3,1,0,0,0,10,3
MEG_2086/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORA,0,0,3,5,0,6,0,0,9,7
MEG_4359/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,0,0,18,5
MEG_6909/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,29,10,3,0,2,2,0
MEG_5424/Metals/Copper_resistance/Copper_resistance_regulator/PCOR,0,0,0,10,0,8,0,24,0,0
MEG_4209/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/NORA,0,0,0,0,0,36,0,0,0,0
MEG_402/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRB,0,14,37,16,0,0,0,0,43,8
MEG_8443/Drugs/Pleuromutilin/Pleuromutilin-resistant_23S_rRNA_mutation/P23S/RequiresSNPConfirmation,91,59,147,95,123,231,163,108,164,174
MEG_7130/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,10,9,16,19,17,24,8,15,20,4
MEG_6519/Biocides/Multi-biocide_resistance/Multi-biocide_ABC_efflux_pump/SMDA,0,28,31,17,0,32,28,0,30,25
MEG_6583/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,2,0,0,0,0,0,0,0,0
MEG_7133/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,5,0,0,9,24,25,2,12,29,0
MEG_8251/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,1205,1390,1196,967,2069,2299,1343,1471,1576,1693
MEG_8242/Drugs/Multi-drug_resistance/MDR_mutation/MDR/RequiresSNPConfirmation,116,0,0,0,104,0,92,0,0,104
MEG_4287/Drugs/Multi-drug_resistance/MDR_mutant_porin_proteins/OMPF/RequiresSNPConfirmation,0,6,3,13,0,10,0,5,12,15
MEG_3234/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,16,0,11,0,0,0,23
MEG_4331/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,0,0,4,0,6,0,0,2,0
MEG_2066/Metals/Copper_resistance/Copper_resistance_protein/COPM,0,0,0,0,10,0,0,0,0,0
MEG_6757/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_5850/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACK,0,0,0,0,0,6,0,0,0,8
MEG_7838/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_SMR_efflux_pump/YKKC,0,20,0,0,0,0,0,0,0,0
MEG_5819/Drugs/Fosfomycin/Fosfomycin_target_mutation/PTSL/RequiresSNPConfirmation,261,138,208,164,154,209,216,121,162,266
MEG_8154/Drugs/Spiropyrimidinetriones/Zoliflodacin-resistant_DNA_topoisomerases/GYRBZ/RequiresSNPConfirmation,148,115,158,111,199,182,195,129,111,223
MEG_8650/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACH,11,16,0,0,28,18,0,27,17,0
MEG_6875/Drugs/betalactams/Class_A_betalactamases/TEM,5,28,7,115,15,41,14,10,10,0
MEG_6592/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,4,0,2,0,0,0,0,0,0
MEG_6047/Drugs/Rifampin/RNA-polymerase_binding_protein/RBPA,0,0,1,0,0,0,0,0,0,1
MEG_2682/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBA,0,5,0,0,0,0,0,0,3,0
MEG_4327/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,0,10,0,0,0,0,0,2,0
MEG_8/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,1005,686,951,379,590,1136,1601,660,1013,2334
MEG_7218/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,4,12,7,10,7,9,2,5,4,6
MEG_2772/Drugs/MLS/23S_rRNA_methyltransferases/ERM,0,0,12,0,0,42,0,22,0,20
MEG_5350/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,0,22,0,0,0
MEG_7017/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,0,10,0,24,0,0,24,0
MEG_1287/Drugs/betalactams/Penicillin_binding_protein_regulator/BLAI,0,0,8,0,0,0,0,0,0,0
MEG_4126/Metals/Nickel_resistance/Nickel_MFS_efflux_pumps/NCRCN,0,0,0,0,0,0,0,0,4,0
MEG_4160/Metals/Chromium_resistance/Chromium_resistance_protein/NFSA,0,0,0,3,0,0,0,0,18,0
MEG_7065/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,29,33,21,35,27,49,28,19,20,47
MEG_7083/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETH,40,32,35,43,240,126,37,80,93,22
MEG_6889/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,0,0,0,0,0
MEG_4169/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKB,0,10,0,3,0,0,0,0,0,2
MEG_7473/Drugs/Glycopeptides/VanC-type_regulator/VANRC,0,0,12,0,0,0,0,0,0,0
MEG_6963/Drugs/Tetracyclines/Tetracycline-resistant_16S_ribosomal_subunit_protein/TET16S/RequiresSNPConfirmation,836,877,951,512,1019,1005,930,778,848,949
MEG_5420/Metals/Copper_resistance/Copper_resistance_protein/PCOC,0,0,0,6,0,0,0,0,0,0
MEG_5323/Drugs/Pleuromutilin/Pleuromutilin-resistant_23S_rRNA_mutation/P23S/RequiresSNPConfirmation,0,16,0,0,0,33,28,27,0,50
MEG_2946/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,328,155,272,127,237,213,201,183,147,124
MEG_6724/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,0,0
MEG_7256/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/TLRC,0,0,0,0,94,0,0,0,0,0
MEG_6508/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_regulator/SILR,0,0,0,0,0,3,0,0,0,0
MEG_4/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,1846,1953,2722,1849,2916,3920,2842,2221,2447,2596
MEG_4329/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,0,0,0,0,0,0,0,2,0
MEG_3836/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MATE_efflux_regulator/MEPR,0,0,0,0,0,12,0,0,0,0
MEG_277/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,12,0,0,8,0
MEG_1019/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,40,25,21,19,41,24,14,58,9,11
MEG_5831/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACEDELTA1,0,0,1,0,0,0,0,4,0,0
MEG_4334/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,0,0,0,0,0,0,0,1,0
MEG_7177/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,6,2,6,6,15,8,0,0,4,2
MEG_3295/Drugs/Mupirocin/Mupirocin-resistant_isoleucyl-tRNA_synthetase/ILES,378,436,765,683,658,449,910,515,585,758
MEG_446/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,0,0,0,4,0
MEG_8677/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/RPSL/RequiresSNPConfirmation,90,130,59,47,61,104,110,107,78,44
MEG_3835/Drugs/Multi-drug_resistance/Multi-drug_MATE_efflux_pump/MEPB,0,0,56,0,0,0,0,0,0,0
MEG_3206/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,149,163,254,272,248,154,360,182,206,254
MEG_6788/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,2,0,0
MEG_6925/Drugs/betalactams/Class_A_betalactamases/TEM,0,1,2,8,2,2,0,2,2,0
MEG_6876/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_4326/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,0,10,0,0,2,0,0,6,0
MEG_846/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,1,0,0,0,0
MEG_6105/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,92,122,170,108,148,212,178,145,133,87
MEG_3760/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MATE_efflux_pumps/MDTK,0,0,0,4,0,6,0,0,0,0
MEG_4010/Metals/Multi-metal_resistance/Multi-metal_ABC_efflux_pumps/MODC,0,14,10,19,8,20,0,0,26,21
MEG_7863/Metals/Multi-metal_resistance/Multi-metal_resistance_regulator/ZRAS,0,0,0,0,0,1,0,0,2,0
MEG_8289/Drugs/Multi-drug_resistance/MDR_mutant_porin_proteins/OMPK/RequiresSNPConfirmation,0,0,0,7,0,0,0,0,14,0
MEG_1225/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/BEPE,0,0,0,59,0,95,27,67,0,181
MEG_4343/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,0,0,8,0
MEG_3429/Drugs/Mycobacterium_tuberculosis-specific_Drug/Isoniazid-resistant_mutant/INHA/RequiresSNPConfirmation,0,0,0,0,14,0,0,0,0,0
MEG_7315/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,179,158,224,137,190,222,141,126,133,152
MEG_8253/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,622,682,533,437,982,1042,695,754,744,929
MEG_6914/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,4,0
MEG_7834/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/YHCN,0,0,0,3,0,2,0,0,2,0
MEG_7116/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,30,31,48,45,56,77,24,35,47,14
MEG_4094/Drugs/Fosfomycin/Fosfomycin_target_mutation/MURA/RequiresSNPConfirmation,24,0,30,0,0,0,0,24,0,0
MEG_338/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,0,0,0,0,24
MEG_6515/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_ABC_efflux_pumps/SITC,0,0,0,4,0,0,2,0,0,0
MEG_6808/Drugs/betalactams/Class_A_betalactamases/TEM,0,2,0,0,0,0,0,0,0,0
MEG_8700/Multi-compount/Biocide_and_metal_resistance/Biocide_and_metal_ABC_efflux_pumps/SITABCD,0,0,0,47,0,68,0,0,93,0
MEG_6143/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/RPSJ/RequiresSNPConfirmation,3,4,3,1,0,0,0,0,0,9
MEG_7085/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETH,24,49,41,22,219,119,31,82,74,18
MEG_3178/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,14,0,16,0,0,16,0
MEG_3975/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,284,408,564,539,527,403,658,338,462,586
