gene_accession,HBB04e_t2_M_BC,HBB05e_t2_M_BC,HBB03e_t2_M_BC,HBB04u_t2_M_BC,HBB03u_t2_M_BC,HBB02u_t2_M_BC,HBB02e_t2_M_BC,HBB01u_t2_M_BC,HBB01e_t2_M_BC,HBB05u_t2_M_BC
MEG_7250/Drugs/Mycobacterium_tuberculosis-specific_Drug/Para-aminosalicylic_acid_resistant_mutant/THYA/RequiresSNPConfirmation,169,65,56,134,106,171,85,99,131,221
MEG_6976/Drugs/Tetracyclines/Tetracycline_inactivation_enzymes/TET34,0,4,0,0,0,0,0,0,0,0
MEG_2122/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,15,2,0,3,0,0,0,0,0,0
MEG_4210/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/NORB,0,0,0,0,0,0,40,0,0,106
MEG_2736/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRY,29,0,0,22,0,0,0,0,0,0
MEG_6047/Drugs/Rifampin/RNA-polymerase_binding_protein/RBPA,4,10,6,0,0,6,6,0,0,0
MEG_5362/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,18,0,0,0,0,0,0
MEG_4214/Drugs/Aminocoumarins/Aminocoumarin_efflux_pump/NOVA,104,0,0,0,0,0,0,70,0,0
MEG_3902/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXB,0,0,12,0,0,12,0,20,0,0
MEG_3223/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,38,0,0,0,0,0,42
MEG_7085/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETH,85,21,21,162,58,33,28,95,41,40
MEG_7849/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ZINT,0,85,0,0,0,0,0,0,0,0
MEG_2675/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBA,0,0,0,6,0,0,0,0,0,0
MEG_990/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,26,0,58,74,38,74,36,86,72,76
MEG_2641/Drugs/Trimethoprim/Dihydrofolate_reductase/DHFR/RequiresSNPConfirmation,0,0,0,16,0,0,0,0,0,0
MEG_3217/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,175,241,107,105,141,183,89,141,151,229
MEG_2118/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,7,2,0,0,0,0,0,0,0,0
MEG_3191/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,39,0,0,46,38,0,33,0,45,0
MEG_3279/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_protein/HSMR,0,0,0,4,0,0,0,0,0,0
MEG_2047/Metals/Copper_resistance/Copper_resistance_protein/COPC,0,0,4,0,0,0,0,0,0,0
MEG_6939/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,20
MEG_3748/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTB,43,0,64,45,74,79,69,98,170,0
MEG_1185/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/AXY,142,0,112,108,0,134,0,126,0,0
MEG_3882/Metals/Mercury_resistance/Mercury_resistance_regulator/MERR,0,42,26,0,6,8,6,16,36,80
MEG_7122/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,24,12,19,28,12,18,4,13,14,33
MEG_3767/Drugs/betalactams/Penicillin_binding_protein/MECA,0,0,0,0,0,0,0,60,0,0
MEG_1308/Drugs/betalactams/Class_A_betalactamases/BLASGM,50,0,0,0,22,96,0,0,0,0
MEG_2052/Metals/Copper_resistance/Copper_resistance_protein/COPD,0,0,6,0,0,0,0,0,0,0
MEG_6132/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,270,184,147,244,173,242,144,235,232,406
MEG_7305/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,389,221,205,302,226,509,177,267,297,577
MEG_6658/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_3835/Drugs/Multi-drug_resistance/Multi-drug_MATE_efflux_pump/MEPB,0,0,0,104,122,0,0,0,0,0
MEG_7015/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,14,0,12,0,19,0,0,0,20
MEG_1003/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT9,0,0,20,106,14,12,10,12,0,118
MEG_2138/Drugs/betalactams/Class_A_betalactamases/CSP,0,0,0,0,0,50,0,50,0,0
MEG_2019/Metals/Copper_resistance/Copper_resistance_protein/COPA,20,20,0,20,39,36,0,0,123,0
MEG_2062/Metals/Copper_resistance/Copper_resistance_protein/COPL,0,0,0,0,0,0,0,0,1,0
MEG_1236/Drugs/betalactams/Class_A_betalactamases/BKC,0,0,0,32,0,0,0,0,0,0
MEG_2876/Biocides/Phenolic_compound_resistance/Phenolic_resistance_protein/FABK,0,0,0,0,0,34,0,0,0,48
MEG_5774/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/PFR,26,0,0,0,0,36,0,0,0,0
MEG_8688/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/SALB,188,100,96,134,146,160,166,208,218,336
MEG_4173/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKE,12,0,0,8,0,0,0,0,0,0
MEG_6897/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,0,0
MEG_5415/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_regulator/PCM,0,0,0,20,0,0,0,24,30,13
MEG_1579/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,8,6,4,0,0,0,8,0,2,0
MEG_3009/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSB,0,12,0,0,0,0,0,0,0,0
MEG_7177/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,10,8,2,8,0,6,6,6,2,6
MEG_8246/Drugs/MLS/MLS_resistance_MFS_efflux_pumps/MEFJ,0,0,0,0,0,0,0,0,0,30
MEG_4294/Drugs/Multi-drug_resistance/Multi-drug_RND_efflux_pumps/OPMH,0,0,12,0,10,18,0,0,0,0
MEG_8661/Drugs/Aminoglycosides/Aminoglycoside_efflux_pumps/RANB,0,0,0,0,8,0,0,0,0,0
MEG_5395/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PAREF/RequiresSNPConfirmation,32,31,0,58,0,0,23,21,0,46
MEG_2787/Drugs/MLS/23S_rRNA_methyltransferases/ERMA,0,0,0,0,10,34,0,12,0,0
MEG_3239/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,135,0,0,0,0,0,0,0,0,0
MEG_3917/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXK,0,0,0,0,0,0,0,0,40,44
MEG_2696/Drugs/betalactams/Class_B_betalactamases/EBR,14,0,0,0,10,0,0,0,0,0
MEG_1208/Drugs/betalactams/Class_A_betalactamases/BCL,0,0,0,0,0,0,0,0,32,0
MEG_730/Drugs/betalactams/Penicillin_binding_protein/AMPH,0,0,0,0,0,0,0,0,62,0
MEG_2718/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/EMHC,0,0,0,0,52,0,0,0,0,0
MEG_6840/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,4
MEG_2545/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRA,0,0,0,0,0,0,6,0,0,0
MEG_3216/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,77,56,0,69,103,43,98,127,0
MEG_2832/Drugs/MLS/23S_rRNA_methyltransferases/ERMF,0,0,0,0,0,0,0,34,0,0
MEG_2444/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/CUID,0,6,0,0,0,0,0,0,0,0
MEG_7092/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETL,0,7,0,0,0,7,0,27,0,21
MEG_7131/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,88,60,77,127,68,54,53,64,82,90
MEG_1215/Drugs/Bacitracin/Bacitracin_ABC_transporter/BCRC,30,0,0,0,0,0,0,0,0,0
MEG_729/Drugs/betalactams/Penicillin_binding_protein/AMPH,35,130,0,0,0,0,0,0,0,0
MEG_7301/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,230,172,138,170,164,208,176,260,452,200
MEG_6546/Biocides/Peroxide_resistance/peroxide_resistance_protein/SODB,0,0,22,0,0,47,0,32,29,60
MEG_8252/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,1735,1768,698,826,1175,1511,976,1330,1387,1772
MEG_3975/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,1181,679,565,954,708,1122,663,656,673,1389
MEG_6949/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_3460/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/KMRA,0,0,0,0,0,52,0,0,0,0
MEG_5751/Drugs/betalactams/Class_A_betalactamases/PENA,0,0,0,0,0,0,0,30,0,0
MEG_3982/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,919,734,475,817,661,889,514,590,555,1086
MEG_2731/Drugs/Multi-drug_resistance/Multi-drug_SMR_efflux_regulator/EMRE,0,0,22,0,6,40,0,26,0,0
MEG_3604/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUA,8,0,0,0,12,0,0,0,0,6
MEG_7328/Drugs/Cationic_antimicrobial_peptides/Lipid_A_modification/UGD,36,21,0,14,0,0,0,0,0,0
MEG_2451/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/CUSF,3,0,0,0,0,0,0,0,0,0
MEG_2783/Drugs/MLS/23S_rRNA_methyltransferases/ERMA,0,0,0,30,0,0,0,0,0,0
MEG_3976/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,9838,10206,9076,9034,10230,11660,7839,8025,10699,17837
MEG_2457/Metals/Copper_resistance/Copper_resistance_protein/CUTE,22,0,0,6,0,0,0,0,0,0
MEG_6626/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,34,14,20,81,33,11,20,15,4,19
MEG_4170/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKC,19,0,0,0,0,0,0,0,0,0
MEG_8689/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/SALC,164,0,100,0,164,191,0,174,0,284
MEG_1097/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,45,36,8,8,8,10,6,8,2,34
MEG_400/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRA,0,31,79,55,47,61,38,94,273,0
MEG_8693/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SEPA,24,0,34,6,18,20,0,0,0,0
MEG_5819/Drugs/Fosfomycin/Fosfomycin_target_mutation/PTSL/RequiresSNPConfirmation,287,223,239,316,289,237,245,289,688,285
MEG_2960/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,68,0,0,62,54,34,0,54,70
MEG_3590/Drugs/Lipopeptides/Daptomycin-resistant_mutant/LIAFSR/RequiresSNPConfirmation,0,0,0,0,0,0,0,24,0,20
MEG_5335/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,28
MEG_5215/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,10,0,0
MEG_7843/Drugs/Lipopeptides/Daptomycin-resistant_mutant/YYBT/RequiresSNPConfirmation,0,64,38,0,0,0,0,0,0,0
MEG_7135/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,77,42,19,96,35,26,39,25,24,77
MEG_5336/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,34,0,0,0,0,0,0,0
MEG_4042/Drugs/MLS/Macrolide_phosphotransferases/MPHE,0,0,0,0,0,0,0,0,14,0
MEG_4280/Drugs/betalactams/Mutant_porin_proteins/OMP36/RequiresSNPConfirmation,4,0,0,0,0,0,0,0,51,0
MEG_5846/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACG,0,0,0,0,6,4,0,0,0,0
MEG_6172/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SDEA,0,0,0,0,0,72,0,46,0,0
MEG_6011/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRC,0,0,14,0,0,0,0,0,0,0
MEG_1145/Metals/Arsenic_resistance/Arsenic_resistance_protein/ARSB,0,25,0,42,0,0,0,0,0,0
MEG_4741/Drugs/betalactams/Class_D_betalactamases/OXA,26,0,0,0,36,0,0,22,22,40
MEG_5358/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,44
MEG_3251/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRC/RequiresSNPConfirmation,844,537,499,607,645,832,492,796,709,900
MEG_6798/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,4
MEG_3763/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MDTN,12,8,0,6,0,0,0,0,0,0
MEG_1088/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,0,0,0,0,0,0,0,0,2,0
MEG_6792/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_2726/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRBSM,0,0,0,0,0,0,0,30,0,0
MEG_1087/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,23,9,0,7,5,4,2,0,0,29
MEG_8678/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/RPSL/RequiresSNPConfirmation,398,208,232,260,327,347,256,220,495,365
MEG_4286/Drugs/Multi-drug_resistance/MDR_mutant_porin_proteins/OMPF/RequiresSNPConfirmation,17,30,0,0,0,0,0,0,0,0
MEG_7234/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,12,8,0,8,10,4,8,2,0,12
MEG_6945/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,2
MEG_5339/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,116,0,0,192,124,150,0,118,0,124
MEG_6129/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,155,111,75,0,124,140,0,129,184,166
MEG_1190/Drugs/Bacitracin/Undecaprenyl_pyrophosphate_phosphatase/BACA,4,0,0,0,0,0,0,0,0,0
MEG_2900/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_ABC_efflux_pumps/FETB,41,0,56,0,0,0,0,0,0,0
MEG_1727/Drugs/Multi-drug_resistance/MDR_23S_ribosomal_RNA_methyltransferase/CLBB,0,107,14,0,0,0,0,0,0,4
MEG_2806/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,12,49,2,34,16,0,2,0,14,20
MEG_2027/Metals/Copper_resistance/Copper_resistance_protein/COPA,0,0,18,0,0,0,0,0,0,0
MEG_3435/Metals/Multi-metal_resistance/Multi-metal_resistance_regulator/IRLR,0,0,20,0,0,0,0,0,0,0
MEG_6718/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_2831/Drugs/MLS/23S_rRNA_methyltransferases/ERMF,0,0,0,0,0,22,0,0,0,0
MEG_5379/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,56,24,88,39,0,28,48,0,63
MEG_7174/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,4,4,0,10,6,0,0,2,2,12
MEG_6963/Drugs/Tetracyclines/Tetracycline-resistant_16S_ribosomal_subunit_protein/TET16S/RequiresSNPConfirmation,2053,2197,1848,2831,1691,2037,1300,1756,2431,2609
MEG_7204/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_regulator/TETU,0,0,0,0,0,8,4,0,0,0
MEG_6913/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,4
MEG_3007/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSB,20,0,20,0,42,74,28,0,0,0
MEG_2722/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRA,22,0,0,0,0,0,0,0,0,0
MEG_4059/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/MREA,0,0,0,0,8,28,0,0,0,0
MEG_3738/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDFA,10,4,0,0,0,0,0,0,14,0
MEG_3646/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/LSAB,0,0,0,0,0,134,60,68,0,0
MEG_2055/Metals/Copper_resistance/Copper_resistance_protein/COPD,4,0,0,0,0,6,0,0,0,0
MEG_6540/Biocides/Peroxide_resistance/peroxide_resistance_protein/SODA,30,4,24,0,14,30,18,14,51,0
MEG_1620/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,30,78,33,9,27,22,17,13,24,35
MEG_5347/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,134,139,106,106,123,139,97,95,210,163
MEG_8634/Drugs/Lipopeptides/Colistin-resistant_mutant/PMRAR/RequiresSNPConfirmation,12,2,0,6,0,0,0,0,0,0
MEG_6153/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/RUVB,0,0,8,17,0,0,0,0,0,0
MEG_3081/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/GADW,1,0,0,0,0,0,0,0,0,0
MEG_4/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,4949,5676,2853,5233,4354,4922,3143,3177,3710,5279
MEG_2447/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/CUSB,11,10,0,0,0,0,0,0,0,0
MEG_3194/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,34,0,0,0,26,41,24,0,0,55
MEG_6839/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,4
MEG_3589/Drugs/Lipopeptides/Daptomycin-resistant_mutant/LIAFSR/RequiresSNPConfirmation,142,0,0,0,100,112,86,0,0,228
MEG_2879/Biocides/Phenolic_compound_resistance/Phenolic_resistance_protein/FABV,38,0,4,14,8,14,16,18,18,14
MEG_3290/Biocides/Acetate_resistance/Acetate_resistance_protein/ICLR,8,2,0,0,0,0,0,0,0,0
MEG_7858/Metals/Zinc_resistance/Zinc_resistance_protein/ZNUB,0,0,0,0,0,0,0,0,6,0
MEG_3269/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_regulator/HMRR,0,0,0,10,0,0,0,0,0,0
MEG_3206/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,599,276,332,496,347,548,330,466,337,669
MEG_2656/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/DPR,0,0,0,0,0,8,0,0,0,0
MEG_6660/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_3621/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUP,90,0,240,0,102,130,24,272,0,128
MEG_6/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,9103,5897,6087,6986,8639,9035,6016,8360,8503,10698
MEG_7830/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/YGIW,0,0,8,0,0,0,0,0,0,0
MEG_2089/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORC,33,0,34,32,26,29,0,0,69,0
MEG_7481/Drugs/Glycopeptides/VanG-type_regulator/VANRG,66,86,36,132,86,82,64,68,80,108
MEG_3234/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,18,0,0,21,0,14,77,0
MEG_5357/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,23,0,0,0,0,0,66,0
MEG_7308/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,30,48,31,24,53,41,48,44,14,54
MEG_4843/Drugs/betalactams/Class_D_betalactamases/OXA,0,72,18,0,0,52,0,16,32,34
MEG_3208/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,529,290,289,320,358,335,233,460,463,445
MEG_6567/Drugs/betalactams/Class_C_betalactamases/SRT,6,0,0,0,0,0,0,0,0,0
MEG_406/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/ACRD,26,20,0,16,0,32,0,0,61,0
MEG_6787/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_7167/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,6,14,0,16,0,4,0,0,0,12
MEG_3948/Metals/Multi-metal_resistance/Multi-metal_resistance_regulator/MGTA,63,62,0,64,0,0,0,0,0,0
MEG_815/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,1,0,0,0,0,0,0,0
MEG_5368/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,230,159,138,149,132,191,137,124,140,217
MEG_2788/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,11,0,13,0,0,0,0,2,16
MEG_4331/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,4,0,0,0,0,0,0,0,0
MEG_8651/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACL,0,0,14,0,0,0,0,0,0,4
MEG_3512/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/KPN,0,0,13,0,10,0,0,0,0,0
MEG_5382/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,229,155,158,183,242,259,204,187,246,386
MEG_3756/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/MDTI,6,0,0,0,0,0,16,0,0,0
MEG_4662/Drugs/betalactams/Class_D_betalactamases/OXA,18,0,0,0,0,16,0,42,0,26
MEG_7134/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,88,46,35,117,10,31,32,23,20,94
MEG_3244/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,130,110,82,113,182,208,134,109,378,217
MEG_6542/Biocides/Peroxide_resistance/peroxide_resistance_protein/SODA,0,18,12,0,0,48,0,0,35,0
MEG_5355/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,16,12,0,0,0,0,0,0,0,0
MEG_5269/Drugs/betalactams/Class_D_betalactamases/OXA,32,0,0,36,0,30,0,0,0,0
MEG_6617/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,37,27,27,99,35,15,25,27,17,19
MEG_3603/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUA,0,0,0,0,0,0,0,6,0,24
MEG_2937/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,80,32,56,46,28,0,44,132,0,0
MEG_6670/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_4283/Drugs/betalactams/Mutant_porin_proteins/OMP37,6,0,0,0,0,0,0,0,0,0
MEG_8077/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_pumps/EFRA,0,176,64,302,81,0,0,0,0,246
MEG_3876/Metals/Mercury_resistance/Mercury_resistance_protein/MERP,0,0,0,0,0,0,0,0,4,0
MEG_6113/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,2935,2012,1891,2360,2545,2905,2209,2317,2757,3045
MEG_6517/Drugs/betalactams/Class_B_betalactamases/SLB,0,0,0,0,0,20,0,0,0,0
MEG_3078/Biocides/Acid_resistance/Acid_resistance_protein/GADB,2,2,0,0,0,0,0,0,0,0
MEG_6868/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,4
MEG_7321/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,236,439,143,532,253,253,173,150,185,338
MEG_2688/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DSBA,6,0,0,0,0,0,0,0,0,0
MEG_7484/Drugs/Glycopeptides/VanN-type_regulator/VANRN,0,0,0,0,0,0,0,16,0,20
MEG_2053/Metals/Copper_resistance/Copper_resistance_protein/COPD,0,0,0,0,0,0,0,0,54,0
MEG_7148/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,67,52,34,60,17,14,14,26,22,94
MEG_8160/Drugs/betalactams/Class_A_betalactamases/IMI,0,0,0,0,0,0,0,0,0,32
MEG_4335/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,4,0,0,0,0,0,0,0,0
MEG_7634/Drugs/MLS/Streptogramin_A_O-acetyltransferase/VATI,0,0,0,12,0,0,0,0,0,0
MEG_3085/Drugs/betalactams/Class_A_betalactamases/GES,0,0,0,0,0,36,0,18,0,0
MEG_3798/Drugs/betalactams/Penicillin_binding_protein/MECC,0,0,0,0,0,0,0,0,0,106
MEG_6810/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,0,0
MEG_1187/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/AXYZ/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,32
